Name	Sentence	Keywords
Vegeta	English:Christopher R. Sabat (Funimation/Crunchyroll)Brian Drummond (Ocean)}}	"dragon, ball, vegeta"
Vegeta	"Vegeta made his appearance in chapter #204 ""Sayonara, Son Goku"", published in Weekly Shnen Jump magazine on January 7, 1989, seeking the wish-granting Dragon Balls to achieve immortality."	"web, url, archive"
Vegeta	"As the first major antagonist of Dragon Ball Z, Vegeta is the prince of an elite Extraterrestrial life warrior race known as the Saiyans."	"extraterrestrial, first, major"
Vegeta	"As a person, he is naturally blunt, regal, hard-working and is full of his saiyan pride; he often refers to his heritage and royal status throughout the series, but can also have negative traits such as being extremely haughty along with a destructive temper. He believed that he should be regarded as the strongest fighter in the universe, and becomes obsessed with surpassing Goku after losing his battle with the Z fighters."	"ref, toriyama, akira"
Vegeta	"However, after Frieza's death, Vegeta unites with the heroes to thwart greater threats to the universe, most notably Cell (Dragon Ball), Majin Buu, Beerus, Zamasu, Jiren (Dragon Ball), Broly, Moro and Granolah."	"cell, dragon, ball"
Vegeta	"Throughout the series, Vegeta's role changes from villain to later as one of the heroes, while remaining a key rival to Goku."	"throughout, series, vegeta"
Vegeta	"Vegeta has been hailed as one of the most iconic characters not only in the Dragon Ball franchise, but also in manga and anime history as a whole."	"vegeta, hailed, one"
Vegeta	"He is often cited as one of the most popular examples of rival characters in the industry, due to his character arc and narrative throughout Dragon Ball Z and Dragon Ball Super."	"dragon, ball, often"
Vegeta	"When creating Vegeta, Toriyama originally intended for him to be a short-lived antagonist and second-tier character, with little influence to Dragon Ball's story."	"development, expand, section"
Vegeta	"Toriyama intended for Goku to simply kill him at the climax of their first battle, and portrayed him as simply and one-dimensional as he should have been considering this."	"simply, toriyama, intended"
Vegeta	"Despite this, the character became more popular than he had expected, and Toriyama became afraid of the backlash of killing him unceremoniously."	"became, despite, character"
Vegeta	Thus Toriyama decided to keep Vegeta in the story for longer.	"thus, toriyama, decided"
Vegeta	"Frieza, who was designed as the antagonist of a later story arc whom Vegeta would come into conflict with much later in the story, was used with the secondary aim to create a reasonable ""Death"" for Vegeta."	"later, story, vegeta"
Vegeta	But he would be revived due to his popularity still.	"would, revived, due"
Vegeta	"He explained his surprise at the character's popularity in an interview during the release of Dragon Ball Z: Battle of Gods, ""I had thought about bringing an end to [his story] as just a villain, but as I was writing, I felt that his villainous [...] warped straightforwardness was unexpectedly interesting."	"explained, surprise, character"
Vegeta	"I couldn't imagine that a guy with this kind of hairstyle would become popular, and yet he'd get more votes than Goku in favorite-character polls."	"imagine, guy, kind"
Vegeta	""" Toriyama initially harbored a dislike for Vegeta since he was created as a despicable character, but grew to like him as he considered the character's personality to be straightforward, therefore easier to write. He also found the character ""Extremely helpful to have around"". He stated at one point when he received a lot of fan mail telling him not to kill Vegeta, he purposely did just that. After the release of Battle of Gods, Toriyama expressed interest in having Vegeta be the lead in the event of another animated feature, though he insisted this was only his intent and no decision had been made. Following the trend that names of members of the Saiyan race are puns on vegetables, Vegeta's name is a pun of the word vegetable itself. File:Ryo Horikawa (14947949559).jpg has been Vegeta's Japanese voice actor in most pieces of Dragon Ball media]] In the original Japanese version of the anime and all media, Vegeta is voiced by Ry Horikawa, with the only exception being Dragon Ball Daima, where a mini Vegeta was voiced by Y®dai Mino. In the Ocean Productions English dub, Vegeta was voiced by Brian Drummond."	"ref, toriyama, web"
Vegeta	Drummond returned in the Funimation dub of Dragon Ball Super to voice Vegeta's Duplicate.	"drummond, returned, funimation"
Vegeta	"In Funimation (now Crunchyroll)'s in house dub, Christopher Sabat has voiced Vegeta in all Dragon Ball media, including video games."	"funimation, crunchyroll, house"
Vegeta	"While Sabat continued to dub Vegeta's adult incarnation in Dragon Ball Z Kai, Laura Bailey (voice actress) voiced Vegeta's child incarnation in Dragon Ball Z Kai and Justin Briner voiced Vegeta's child incarnation in Dragon Ball Super."	"dragon, ball, kai"
Vegeta	"In Brazil, where Dragon Ball is a huge success, Vegeta has been voiced by Alfredo Rollo since his debut."	"brazil, dragon, ball"
Vegeta	"In Latin American Spanish, he's consistently been voiced by Ren?? Garc??a."	"latin, american, spanish"
