Name	Sentence	Keywords
Son Goku	{{pp	"dragon, ball, character"
Son Goku	"Enough. Dragon Ball: Sleeping Princess in Devil's Castle and Dragon Ball: Mystical Adventure, DBZ ep."	"dragon, ball, son"
Son Goku	"128, one loop in ep."	"128, one, loop"
Son Goku	202}}) * Stephanie Nadolny (Funimation; young) * Colleen Clinkenbeard (Funimation; young) * Kristen McGuire (Funimation; infant) (Harmony Gold) * Nesty Ramirez (Creative Products Corp.) * Saffron Henderson (BLT{{refnDB eps.	"refn, group, funimation"
Son Goku	"1-13, Dragon Ball: Curse of the Blood Rubies}}) * Ian James Corlett (Ocean{{refnDBZ eps."	"refn, group, dragon"
Son Goku	1-50 [edited into eps.	"edited, eps"
Son Goku	"1-37], Dragon Ball Z: The Tree of Might}}) * Peter Kelamis (Ocean{{refnDBZ eps."	"dbz, dragon, ball"
Son Goku	50-67 [edited into eps.	"edited, eps"
Son Goku	"38-53], 123-174, Dragon Ball Z: Dead ZoneDragon Ball Z: The World's StrongestDragon Ball Z: The Tree of Might}}) * Jillian Michaels (Ocean; young) * Kirby Morrow (Ocean{{refnDBZ eps."	"dragon, ball, dbz"
Son Goku	175-291}}) * Zoe Slusar (Blue Water; young) * Jeffrey Watson (actor) (Blue Water; teen) * Jeremiah Yurk (Blue Water; adult and SSJ4) * Jodi Forrest (AB Groupe; young) * David Gasman (AB Groupe) * Ed Marcus (AB Groupe) * Andrea Kwan (Animax Asia; young) * David Bridges (Animax Asia; teen) * Lex Lang (Bang Zoom!	"blue, water, young"
Son Goku	) * Philece Sampler (Bang Zoom!	"refn, group, dragon"
Son Goku	; young)}}}}	"son, refn, group"
Son Goku	"He is based on Sun Wukong (known as Son Goku in Japan and Monkey King in the West), a main character of the classic 16th-century Chinese novel Journey to the West, combined with influences from the Hong Kong action cinema of Jackie Chan and Bruce Lee."	"west, based, sun"
Son Goku	"Goku made his debut in the first Dragon Ball chapter, Bulma and Son Goku,}}"	"goku, son, refn"
Son Goku	"originally published in Japan's Weekly Shnen Jump magazine on December 3, 1984. Goku is introduced as an eccentric, monkey-tailed boy who practices martial arts and possesses superhuman strength."	"web, url, archive"
Son Goku	He meets Bulma and joins her on a journey to find the seven wish-granting Dragon Balls.	"meets, bulma, joins"
Son Goku	"Along the way, he finds new friends who follow him on his journey to become stronger."	"along, way, finds"
Son Goku	"As Goku grows up, he becomes the Earth's mightiest warrior and battles a wide variety of villains with the help of his friends and family, while also gaining new allies in the process."	"goku, grows, becomes"
